Statistik_Code,Statistik_Label,Berichtsjahr,Rechtsgrundlage,Reglementierung,Geschlecht,Masseinheit,Gesamt,Beschieden,Positiv_Beschieden,Volle_Gleichwertigkeit,Negativ_Beschieden
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Anzahl,95451,81858,79104,37017,2754
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Frauen,Anzahl,56289,48720,46965,20106,1755
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Männer,Anzahl,39162,33138,32139,16911,999
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,17142,14640,13974,7323,666
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,reglementiert,Insgesamt,Anzahl,78309,67218,65130,29694,2088
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,Insgesamt,Insgesamt,Anzahl,76776,66879,65895,28917,984
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,Insgesamt,Frauen,Anzahl,44160,38886,38475,16020,411
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,Insgesamt,Männer,Anzahl,32616,27993,27420,12897,573
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,nicht Reglementiert,Insgesamt,Anzahl,15336,13536,13116,6513,420
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,reglementiert,Insgesamt,Anzahl,61440,53343,52779,22404,564
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,Insgesamt,Insgesamt,Anzahl,18675,14979,13212,8100,1770
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,Insgesamt,Frauen,Anzahl,12132,9834,8490,4086,1344
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,Insgesamt,Männer,Anzahl,6543,5145,4719,4011,426
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,nicht Reglementiert,Insgesamt,Anzahl,1806,1104,858,807,246
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,reglementiert,Insgesamt,Anzahl,16869,13878,12354,7290,1524
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,Insgesamt,Insgesamt,Anzahl,81693,67536,65280,31659,2256
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,Insgesamt,Frauen,Anzahl,47589,39591,38079,16731,1512
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,Insgesamt,Männer,Anzahl,34104,27945,27201,14928,744
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,nicht Reglementiert,Insgesamt,Anzahl,14652,11730,11358,6075,372
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,reglementiert,Insgesamt,Anzahl,67041,55806,53922,25584,1884
