Statistik_Code,Statistik_Label,Berichtsjahr,Zusammenfassungen ausgewaehlter Berufe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Geschlecht,Entscheidung,Verfahren_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,3489
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,3003
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,2148
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,684
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Auflage einer Ausgleichsmaßnahme,1407
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - partieller Berufszugang,57
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,855
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,216
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,270
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,363
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,315
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,291
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,192
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Auflage einer Ausgleichsmaßnahme,102
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,21
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,sonstige Erledigung/ Verfahren ohne Bescheid beendet,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,36
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,12
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,positiv - volle Gleichwertigkeit,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,negativ beschieden,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,noch keine Entscheidung,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,642
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Verfahren beschieden,576
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Positiv beschieden,564
