Statistik_Code,Statistik_Label,Berichtsjahr,Rechtsgrundlage,Reglementierung,Geschlecht,Neuantraege_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,70953
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Männer,30717
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Frauen,40236
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,nicht Reglementiert,Insgesamt,15102
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,reglementiert,Insgesamt,55851
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,Insgesamt,Insgesamt,55332
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,Insgesamt,Männer,24918
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,Insgesamt,Frauen,30411
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,nicht Reglementiert,Insgesamt,13515
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Bundesrecht,reglementiert,Insgesamt,41817
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,Insgesamt,Insgesamt,15621
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,Insgesamt,Männer,5799
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,Insgesamt,Frauen,9825
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,nicht Reglementiert,Insgesamt,1587
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Landesrecht,reglementiert,Insgesamt,14034
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,Insgesamt,Insgesamt,62097
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,Insgesamt,Männer,27057
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,Insgesamt,Frauen,35043
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,nicht Reglementiert,Insgesamt,13071
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Insgesamt,reglementiert,Insgesamt,49026
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,Insgesamt,Insgesamt,48546
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,Insgesamt,Männer,22140
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,Insgesamt,Frauen,26406
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,nicht Reglementiert,Insgesamt,11496
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Bundesrecht,reglementiert,Insgesamt,37050
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,Insgesamt,Insgesamt,13551
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,Insgesamt,Männer,4917
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,Insgesamt,Frauen,8637
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,nicht Reglementiert,Insgesamt,1575
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2023,Landesrecht,reglementiert,Insgesamt,11976
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,Insgesamt,Insgesamt,49464
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,Insgesamt,Männer,21612
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,Insgesamt,Frauen,27855
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,nicht Reglementiert,Insgesamt,10404
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Insgesamt,reglementiert,Insgesamt,39060
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,Insgesamt,Insgesamt,39312
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,Insgesamt,Männer,17826
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,Insgesamt,Frauen,21489
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,nicht Reglementiert,Insgesamt,9351
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Bundesrecht,reglementiert,Insgesamt,29961
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,Insgesamt,Insgesamt,10152
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,Insgesamt,Männer,3786
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,Insgesamt,Frauen,6366
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,nicht Reglementiert,Insgesamt,1053
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2022,Landesrecht,reglementiert,Insgesamt,9099
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,Insgesamt,Insgesamt,43911
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,Insgesamt,Männer,19299
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,Insgesamt,Frauen,24609
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,nicht Reglementiert,Insgesamt,10170
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Insgesamt,reglementiert,Insgesamt,33741
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,Insgesamt,Insgesamt,34704
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,Insgesamt,Männer,16056
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,Insgesamt,Frauen,18648
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,nicht Reglementiert,Insgesamt,9339
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Bundesrecht,reglementiert,Insgesamt,25368
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,Insgesamt,Insgesamt,9204
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,Insgesamt,Männer,3243
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,Insgesamt,Frauen,5961
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,nicht Reglementiert,Insgesamt,831
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2021,Landesrecht,reglementiert,Insgesamt,8373
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,Insgesamt,Insgesamt,41961
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,Insgesamt,Männer,17841
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,Insgesamt,Frauen,24120
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,nicht Reglementiert,Insgesamt,8715
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Insgesamt,reglementiert,Insgesamt,33246
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,Insgesamt,Insgesamt,31536
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,Insgesamt,Männer,14037
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,Insgesamt,Frauen,17499
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,nicht Reglementiert,Insgesamt,7686
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2020,Bundesrecht,reglementiert,Insgesamt,23853
