Statistik_Code,Statistik_Label,Berichtsjahr,Berufshauptgruppe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Geschlecht,Neuantraege_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,70953
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,40236
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,30717
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,75
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,60
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,18
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,183
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,69
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,840
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,1419
