Statistik_Code,Statistik_Label,Berichtsjahr,Zusammenfassungen ausgewaehlter Berufe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Geschlecht,Neuantraege_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,2604
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,291
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,603
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,5061
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,120
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lehramt/Lehrer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,3327
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,22737
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,2295
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Erzieher/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,306
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,150
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Facharzt/Fachärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,141
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Fachzahnarzt/Fachzahnärztin,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,471
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,132
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,1455
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Ingenieur/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Männer,3606
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Kinderpfleger/in,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Frauen,120
