Statistik_Code,Statistik_Label,Berichtsjahr,Berufshauptgruppe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Staatsangehoerigkeit,Verfahren_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,95451
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Deutschland,5061
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,49536
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,12753
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),6555
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Nordamerika,2049
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,4506
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,26388
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,39
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",180
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,15195
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,34341
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,15375
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,79896
