Statistik_Code,Statistik_Label,Berichtsjahr,Kontinent,Staatsangehoerigkeit,Rang,Beruf,Verfahren_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Übrige,Insgesamt,95451
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),35258
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),14620
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,3,Ingenieur/in,5450
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,4,Lehramt/Lehrer/in,4135
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,5,Erzieher/in,3490
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,6,Physiotherapeut/in,2745
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),1729
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,8,Apotheker/in (im Rahmen der Approbationserteilung),1435
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,9,Elektroanlagenmonteur/in,1197
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,10,Koch/Köchin,1128
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,11,Kraftfahrzeugmechatroniker/in,1019
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,12,Elektroniker/in,985
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,13,Medizinisch-technische(r) Radiologieassistent/in,978
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,14,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",974
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,15,Elektroniker/in für Betriebstechnik,934
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,16,Kaufmann/Kauffrau für Büromanagement,869
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,17,Anästhesietechnische(r) Assistent/in (ATA),753
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,18,Hebamme/Entbindungspfleger (Ausbildung),747
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,19,Friseur/in,666
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,641
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Übrige,Übrige Berufe,15698
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,Übrige,Insgesamt,49535
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Afrika,Insgesamt,Übrige,Insgesamt,12753
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Amerika,Insgesamt,Übrige,Insgesamt,6554
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Asien,Insgesamt,Übrige,Insgesamt,26389
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Australien/Ozeanien,Insgesamt,Übrige,Insgesamt,39
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",Insgesamt,Übrige,Insgesamt,181
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),12803
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),5665
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,3,Ingenieur/in,3714
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,4,Lehramt/Lehrer/in,3496
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Europa,Insgesamt,5,Erzieher/in,2842
