Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Beruf,Beschieden_Anzahl,Beschieden_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,81858,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),32832,40.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),10995,13.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Ingenieur/in,4464,5.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Lehramt/Lehrer/in,3204,3.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Erzieher/in,3003,3.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Physiotherapeut/in,2250,2.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),1410,1.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Apotheker/in (im Rahmen der Approbationserteilung),1152,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Elektroanlagenmonteur/in,1152,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Koch/Köchin,1029,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Medizinisch-technische(r) Radiologieassistent/in,867,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Kraftfahrzeugmechatroniker/in,840,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",840,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Elektroniker/in für Betriebstechnik,828,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Elektroniker/in,813,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,Kaufmann/Kauffrau für Büromanagement,792,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Hebamme/Entbindungspfleger (Ausbildung),663,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Anästhesietechnische(r) Assistent/in (ATA),645,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Industrieelektriker/in,579,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,576,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Friseur/in,546,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,Medizinisch-technische(r) Laboratoriumsassistent/in,537,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,Tierarzt/Tierärztin (im Rahmen der Approbationserteilung),417,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,24,Operationstechnische(r) Assistent/in (OTA),396,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,25,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),396,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,26,Fachkraft für Metalltechnik,375,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,27,Fachinformatiker/in,363,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,28,Fachkraft Küche,342,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,29,Fachkraft - Betreuung (reglementiert)(Hessen),339,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,30,Architekt/in,333,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,31,Pharmazeutisch-technische(r) Assistent/in,321,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,32,Facharzt/Fachärztin,315,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,33,Elektroniker/in für Automatisierungstechnik,312,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,34,Kindheitspädagoge/Kindheitspädagogin (Staatlich anerkannt),291,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,35,Elektroniker/in für Geräte und Systeme,279,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,36,"Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik",276,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,37,Zerspanungsmechaniker/in,273,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,38,Elektroniker/in für Informations- und Systemtechnik,219,0.3
