Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Beruf,Positiv_Beschieden_Anzahl,Positiv_Beschieden_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,79104,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),32454,41
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),10962,13.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Ingenieur/in,4350,5.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Lehramt/Lehrer/in,2832,3.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Physiotherapeut/in,2223,2.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Erzieher/in,2148,2.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),1398,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Apotheker/in (im Rahmen der Approbationserteilung),1149,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Elektroanlagenmonteur/in,1131,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Koch/Köchin,987,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Medizinisch-technische(r) Radiologieassistent/in,861,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Elektroniker/in für Betriebstechnik,825,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,Kraftfahrzeugmechatroniker/in,801,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Kaufmann/Kauffrau für Büromanagement,786,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Elektroniker/in,783,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",771,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Hebamme/Entbindungspfleger (Ausbildung),654,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Anästhesietechnische(r) Assistent/in (ATA),642,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Industrieelektriker/in,573,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,564,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Medizinisch-technische(r) Laboratoriumsassistent/in,525,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,Friseur/in,501,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,Tierarzt/Tierärztin (im Rahmen der Approbationserteilung),399,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,24,Operationstechnische(r) Assistent/in (OTA),396,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,25,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),387,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,26,Fachkraft für Metalltechnik,369,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,27,Fachinformatiker/in,357,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,28,Fachkraft - Betreuung (reglementiert)(Hessen),339,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,29,Architekt/in,324,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,30,Pharmazeutisch-technische(r) Assistent/in,321,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,31,Fachkraft Küche,309,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,32,Elektroniker/in für Automatisierungstechnik,306,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,33,Facharzt/Fachärztin,291,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,34,Elektroniker/in für Geräte und Systeme,273,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,35,Kindheitspädagoge/Kindheitspädagogin (Staatlich anerkannt),270,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,36,Zerspanungsmechaniker/in,267,0.3
