Statistik_Code,Statistik_Label,Berichtsjahr,Berufshauptgruppe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Staatsangehoerigkeit,Positiv_Voll_G_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,37017
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Deutschland,3189
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,21930
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,3768
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),2088
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Nordamerika,714
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,1374
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,9153
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,18
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",63
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,8883
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,13047
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,8991
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,27963
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,45
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,36
