Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Beruf,Positiv_Voll_G_Anzahl,Positiv_Voll_G_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,37017,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),12027,32.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),6993,18.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Ingenieur/in,4350,11.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Physiotherapeut/in,900,2.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Elektroanlagenmonteur/in,816,2.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Erzieher/in,684,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),651,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Koch/Köchin,648,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Apotheker/in (im Rahmen der Approbationserteilung),489,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,483,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Industrieelektriker/in,441,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Kaufmann/Kauffrau für Büromanagement,435,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",390,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),387,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Elektroniker/in,342,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,Lehramt/Lehrer/in,342,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Architekt/in,324,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Fachkraft für Metalltechnik,285,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Friseur/in,270,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Medizinisch-technische(r) Radiologieassistent/in,258,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Fachkraft Küche,255,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,Kraftfahrzeugmechatroniker/in,255,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,Tierarzt/Tierärztin (im Rahmen der Approbationserteilung),207,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,24,Facharzt/Fachärztin,192,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,25,Fachkraft - Betreuung (reglementiert)(Hessen),189,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,26,Elektroniker/in für Betriebstechnik,189,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,27,Hebamme/Entbindungspfleger (Ausbildung),162,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,28,Medizinisch-technische(r) Laboratoriumsassistent/in,153,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,29,Kindheitspädagoge/Kindheitspädagogin (Staatlich anerkannt),126,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,30,Elektroniker/in für Geräte und Systeme,120,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,31,Hotelfachmann/-fachfrau,120,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,32,Zahnmedizinische(r) Fachangestellte(r),105,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,33,"Anlagenmechaniker/in für Sanitär-, Heizungs- und Klimatechnik",99,0.3
