Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Ausbildungsstaat,Positiv_Voll_G_Anzahl,Positiv_Voll_G_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,37017,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Türkei,4143,11.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Ukraine,2571,6.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Bosnien und Herzegowina,2331,6.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Philippinen,1977,5.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Tunesien,1911,5.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Syrien,1599,4.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Rumänien,1437,3.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Indien,1383,3.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Iran,1329,3.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Serbien,1056,2.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Kosovo,1056,2.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Polen,939,2.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,Österreich,912,2.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Albanien,900,2.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Russische Föderation,654,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,Ägypten,651,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Spanien,588,1.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Marokko,543,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Ungarn,540,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Brasilien,525,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Kolumbien,483,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,Bulgarien,477,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,Kroatien,444,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,24,Griechenland,438,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,25,Nordmazedonien,420,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,26,Italien,405,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,27,Mexiko,402,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,28,Niederlande,372,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,29,Jordanien,354,1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,30,China,336,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,31,Vietnam,330,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,32,Aserbaidschan,228,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,33,Algerien,228,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,34,Belarus,225,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,35,Tschechien,210,0.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,36,Schweiz,201,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,37,Slowakei,186,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,38,Moldau,180,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,39,Usbekistan,171,0.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,40,Kasachstan,150,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,41,Irak,150,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,42,Portugal,150,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,43,Honduras,147,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,44,Litauen,147,0.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,45,Afghanistan,129,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,46,Lettland,129,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,47,Libanon,126,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,48,Venezuela,108,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,49,Vereinigtes Königreich,105,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,50,Belgien,102,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,51,Indonesien,96,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,52,Argentinien,93,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,53,"ehem. Jugoslawien, Bundesrepublik",93,0.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,54,Frankreich,90,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,55,Chile,84,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,56,Thailand,81,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,57,Georgien,81,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,58,Libyen,72,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,59,Pakistan,69,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,60,Zypern,63,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,61,Peru,63,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,62,ehem. Jugoslawien (Gesamtjugoslawien),60,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,63,Armenien,60,0.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,64,Ecuador,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,65,Palästinensische Gebiete,54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,66,ehem. Serbien (einschl. Kosovo),54,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,67,Vereinigte Staaten,51,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,68,ehem. Serbien und Montenegro,48,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,69,ehem. Sowjetunion,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,70,Mongolei,45,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,71,Ghana,42,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,72,Nepal,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,73,Montenegro,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,74,Nigeria,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,75,Sri Lanka,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,76,Sudan,39,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,77,Jemen,33,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,78,Schweden,33,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,79,Paraguay,33,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,80,Saudi-Arabien,33,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,81,Malaysia,33,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,82,Costa Rica,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,83,Bolivien,30,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,84,Kamerun,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,85,Kirgisistan,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,86,Slowenien,27,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,87,Dänemark,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,88,Kenia,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,89,Namibia,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,90,Vereinigte Arabische Emirate,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,91,Australien,24,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,92,Kuba,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,93,Tadschikistan,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,94,El Salvador,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,95,Äthiopien,21,0.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,96,Südafrika,18,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,97,Israel,18,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,98,Dominikanische Republik,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,99,Kanada,15,0
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,100,Japan,15,0
