Statistik_Code,Statistik_Label,Berichtsjahr,Berufshauptgruppe,Berufsgattung,Referenzberuf,Rechtsgrundlage,Reglementierung,Staatsangehoerigkeit,Neuantraege_Anzahl
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,70953
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Deutschland,4269
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Europa,38190
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Afrika,9024
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Amerika (gesamt),4554
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Nordamerika,1371
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Südamerika,3183
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Asien,19026
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Australien/Ozeanien,30
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,"Sonstige (ungeklärt, staatenlos, ohne konkrete Angabe)",126
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EU-Länder,12219
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Übriges Europa,25971
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,EWR/Schweiz,12372
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Drittstaaten,58455
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Land-, Tier- und Forstwirtschaftsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,75
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gartenbauberufe und Floristik,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,60
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Rohstoffgewinnung und -aufbereitung, Glas- und Keramikherstellung und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,18
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Kunststoffherstellung und -verarbeitung, Holzbe- und -verarbeitung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,183
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Papier- und Druckberufe, technische Mediengestaltung",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,69
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Metallerzeugung und -bearbeitung, Metallbauberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,840
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Maschinen- und Fahrzeugtechnikberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,1419
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mechatronik-, Energie- und Elektroberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,4731
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Technische Forschungs-, Entwicklungs-, Konstruktions- und Produktionssteuerungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,5253
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Textil- und Lederberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,117
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Lebensmittelherstellung und -verarbeitung,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,1602
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Bauplanungs-, Architektur- und Vermessungsberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,567
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Hoch- und Tiefbauberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,165
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,(Innen-)Ausbauberufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,153
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Gebäude- und versorgungstechnische Berufe,Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,453
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Mathematik-, Biologie-, Chemie- und Physikberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,153
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Geologie-, Geografie- und Umweltschutzberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,"Informatik-, Informations- und Kommunikationstechnologieberufe",Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,429
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Verkehrs- und Logistikberufe (außer Fahrzeugführung),Insgesamt,Insgesamt,Insgesamt,Insgesamt,Insgesamt,159
