Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Beruf,Neuantraege_Anzahl,Neuantraege_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,70953,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Pflegefachmann/Pflegefachfrau (inkl. Vorgängerberufe),22737,32
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Arzt/Ärztin (im Rahmen der Approbationserteilung),10857,15.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Ingenieur/in,5061,7.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Lehramt/Lehrer/in,3327,4.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Erzieher/in,2604,3.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Physiotherapeut/in,1782,2.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Zahnarzt/Zahnärztin (im Rahmen der Approbationserteilung),1350,1.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Elektroanlagenmonteur/in,1056,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Apotheker/in (im Rahmen der Approbationserteilung),1035,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Koch/Köchin,999,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Kraftfahrzeugmechatroniker/in,942,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Elektroniker/in,900,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,"Sozialpädagoge/Sozialpädagogin, Sozialarbeiter/in",756,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Elektroniker/in für Betriebstechnik,750,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Kaufmann/Kauffrau für Büromanagement,747,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,Friseur/in,618,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Gesundheits- und Krankenpflegeassistent/in bzw. Pflegehelfer/in,603,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Medizinisch-technische(r) Radiologieassistent/in,600,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Industrieelektriker/in,543,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Pflegefachhelfer/in - Krankenpflege (nur in Bayern),537,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Anästhesietechnische(r) Assistent/in (ATA),525,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,Hebamme/Entbindungspfleger (Ausbildung),486,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,Tierarzt/Tierärztin (im Rahmen der Approbationserteilung),420,0.6
