Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Ausbildungsstaat,Neuantraege_Anzahl,Neuantraege_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,70953,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Türkei,8727,12.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Ukraine,7335,10.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Syrien,4230,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Indien,4062,5.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Tunesien,3708,5.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Iran,3072,4.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Bosnien und Herzegowina,3057,4.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Kosovo,2385,3.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Philippinen,2058,2.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Marokko,1851,2.6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Ägypten,1731,2.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Rumänien,1704,2.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,Serbien,1584,2.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Albanien,1377,1.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Polen,1359,1.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,Russische Föderation,1323,1.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Kolumbien,1245,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Brasilien,1089,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Österreich,987,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Spanien,912,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Mexiko,849,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,China,810,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,Nordmazedonien,723,1
