Statistik_Code,Statistik_Label,Berichtsjahr,Rang,Staatsangehoerigkeit,Positiv_Voll_G_Anzahl,Positiv_Voll_G_Prozent
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,Insgesamt,Insgesamt,70953,100
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,1,Türkei,8412,11.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,2,Ukraine,7059,9.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,3,Deutschland,4269,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,4,Syrien,4242,6
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,5,Indien,4071,5.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,6,Tunesien,3735,5.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,7,Iran,3039,4.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,8,Bosnien und Herzegowina,2715,3.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,9,Kosovo,2430,3.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,10,Philippinen,2040,2.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,11,Marokko,1881,2.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,12,Serbien,1647,2.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,13,Ägypten,1620,2.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,14,Rumänien,1392,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,15,Albanien,1389,2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,16,Kolumbien,1245,1.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,17,Polen,1059,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,18,Brasilien,1041,1.5
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,19,Russische Föderation,969,1.4
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,20,Kroatien,942,1.3
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,21,Spanien,855,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,22,Mexiko,837,1.2
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,23,China,792,1.1
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,24,Nordmazedonien,630,0.9
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,25,Griechenland,600,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,26,Vietnam,582,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,27,Algerien,573,0.8
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,28,Aserbaidschan,519,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,29,Italien,513,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,30,Bulgarien,510,0.7
21231,Erhebung nach §17 Berufsqualifikationsfeststellungsgesetz (BQFG),2024,31,Österreich,432,0.6
