Origin country (code),Origin country (name),Host country (code),Host country (name),Profession,Year from,Year to,Establishment,Type of decision,Pos/Neg/Neutral,Total,Recognition,Qualification/Training,Qualification level,Isco code 1,Isco label 1
AT,Austria,DE,Germany,Secondary school teacher,2023,2023,Yes,Positive partial access,+,6,Sectoral professions Annex V - automatic recognition,,,2330,Secondary education teachers
AT,Austria,DE,Germany,Child care worker,2021,2021,Yes,Positive partial access,+,3,Sectoral professions Annex V - automatic recognition,,,5311,Child care workers
AT,Austria,DE,Germany,Joiner/Carpenter,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,18,Sectoral professions Annex V - automatic recognition,,,7115,Carpenters and joiners
AT,Austria,DE,Germany,Building insulator / Building insulation,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7124,Insulation workers
AT,Austria,DE,Germany,Wooden furniture maker,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,30,Sectoral professions Annex V - automatic recognition,,,7522,Cabinet-makers and related workers
AT,Austria,DE,Germany,Veterinary Surgeon,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,"Construction/Civil engineering: building of roads, bridges, railways",2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,2142,Civil engineers
AT,Austria,DE,Germany,Mason /Bricklayer,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Building contractor,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,3123,Construction supervisors
AT,Austria,DE,Germany,Metal caster / Foundry worker,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,33,Sectoral professions Annex V - automatic recognition,,,7211,Metal moulders and coremakers
AT,Austria,DE,Germany,Mason /Bricklayer,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,27,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Painter-decorator,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,9,Sectoral professions Annex V - automatic recognition,,,7131,Painters and related workers
AT,Austria,DE,Germany,Plumber,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7126,Plumbers and pipe fitters
AT,Austria,DE,Germany,Air conditioning technician/Heating/Central heating technician/installer/repairer/Maintenance-Installation of ventilation equipment,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,36,Sectoral professions Annex V - automatic recognition,,,7127,Air conditioning and refrigeration mechanics
AT,Austria,DE,Germany,Tiler,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7122,Floor layers and tile setters
AT,Austria,DE,Germany,Manufacture and/or repair of precision instruments and measuring and controlling instruments,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7311,Precision-instrument makers and repairers
AT,Austria,DE,Germany,Electrician / Senior electrician /Specialised electrician,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,51,Sectoral professions Annex V - automatic recognition,,,7411,Building and related electricians
AT,Austria,DE,Germany,Roofer / Roofing,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,,,7121,Roofers
AT,Austria,DE,Germany,Architect,2023,2023,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Building insulator / Building insulation,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7124,Insulation workers
AT,Austria,DE,Germany,Plumber,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7126,Plumbers and pipe fitters
AT,Austria,DE,Germany,Manufacture and/or repair of precision instruments and measuring and controlling instruments,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7311,Precision-instrument makers and repairers
AT,Austria,DE,Germany,Architect,2019,2019,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Architect,2018,2018,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Architect,2017,2017,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Architect,2016,2016,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,Architect training (Article 46 of Directive 2005/36/EC),,2161,Building architects
AT,Austria,DE,Germany,Metal caster / Foundry worker,2019,2019,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,,,7211,Metal moulders and coremakers
AT,Austria,DE,Germany,Veterinary Surgeon,2021,2021,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2020,2020,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,6,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2019,2019,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
AT,Austria,DE,Germany,Veterinary Surgeon,2018,2018,No,Declarations received by the host country (Art. 7.1)- except cases covered by Art. 7.4,0,3,Sectoral professions Annex V - automatic recognition,Veterinary Surgeon training (Article 38 of Directive 2005/36/EC),,2250,Veterinarians
