Jahr;Einwohner insg.;Einw. männlich;Einw. weiblich;Einw. ledig;Einw. verheiratet;Einw. verwitwet;Einw. geschieden;Einwohner unter 6;Einwohner 6 bis unter 10;Einwohner 10 bis unter 18;Einwohner 18 bis unter 25;Einwohner 25 bis unter 45;Einwohner 45 bis unter 65;Einwohner 65 bis unter 80;Einwohner ab 80;Fläche in ha;Einwohner im Vorjahr;Einwohner vor 5 Jahren;Stat.Bezirk (zusammengefasst);Einw. deutsch ohne Migrationshintergrund;Einw. deutsch mit Migrationshintergrund;Einwohner ausländisch;Einwohner mit Migr.Hintergrund insg.;Nation.Gruppe Deutschland;Nation.Gruppe EU;Nation.Gruppe Europa, nicht-EU;Nation.Gruppe Übrige Welt
2024;5126;2774;2352;3193;1219;251;463;162;80;180;608;2268;1073;459;296;87;5035;5057;Altstadt, St. Lorenz;2207;810;2109;2919;3017;805;481;823
2024;1731;874;857;1033;493;59;146;96;53;77;169;785;329;160;62;60;1776;1468;Marienvorstadt;899;330;502;832;1229;159;154;189
2024;1382;722;660;802;431;33;116;87;40;91;163;538;325;114;24;65;1322;1268;Tafelhof;335;311;736;1047;646;331;187;218
2024;9241;5070;4171;5425;2761;290;765;502;317;643;952;3477;2344;817;189;52;9420;9381;Gostenhof;2918;1607;4716;6323;4525;2118;1206;1392
2024;5960;2927;3033;3064;2108;313;475;307;183;353;367;2067;1579;728;376;65;5933;5987;Himpfelshof;3277;1046;1637;2683;4323;652;546;439
2024;9239;4582;4657;5625;2474;360;780;336;159;308;925;4154;1995;902;460;80;9291;9168;Altstadt, St. Sebald;4959;1650;2630;4280;6609;1073;614;942
2024;8128;3871;4257;4227;2646;519;736;372;226;383;508;2894;2128;986;631;59;8042;8198;St. Johannis;4831;1400;1897;3297;6231;762;555;580
2024;7998;4017;3981;4388;2617;310;683;399;203;394;662;3093;1961;930;356;51;8030;7987;Pirckheimerstraße;4058;1556;2384;3940;5614;886;719;779
2024;10043;4934;5109;5680;3021;494;848;487;253;425;994;4016;2176;1123;569;79;10165;10068;Wöhrd;5191;1971;2881;4852;7162;982;1040;859
2024;11656;5815;5841;6163;3684;656;1153;605;375;720;1204;3949;2792;1410;601;146;11319;11376;Ludwigsfeld;4727;2779;4150;6929;7506;1172;1407;1571
